OBJECTID,Linear_Distance_km_,Latitude,Longitude,HS,UCL,LCL,Resistencia,Distancia_area,porcen_cobertura,Dist_rios,Dist_corred,Altitud,NDVI,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_1,HOTSP
231,9.507,5.782616701,-75.65247092,4.556405,5.510426,-4.983806,371.115,10414.0859,58,131.0584,9396.0752,617,0.386395991,0.098246753,0.087715968,0.065763026,0.279508471,0.197169483,297.7661133,297.5372925,0.085679777,0.166621953,2,0
232,9.548,5.782938966,-75.65265647,4.548186,5.500885,-4.978806,358.614,10419.4512,76,131.0584,9330.9541,610,0.399394989,0.092757531,0.081077576,0.057074782,0.285291076,0.167267695,296.7554016,296.8363342,0.0654376,0.165932387,2,0
233,9.589,5.78325879,-75.65284323,2.603295,5.457785,-5.008678,335.1935,10424.6113,72,92.6723,9330.9541,610,0.504369974,0.090604231,0.076980338,0.051374722,0.285729587,0.145036548,296.5016785,296.8363342,0.05221827,0.168755278,2,0
234,9.631,5.783581056,-75.65303,3.503214,5.404035,-5.050482,327.6091,10430.1572,54,92.6723,9306.5322,619,0.399031997,0.093738526,0.079758309,0.058052327,0.288303435,0.164277285,295.9920959,295.9896851,0.065981008,0.161942631,2,0
235,9.672,5.783902101,-75.65321555,3.406797,5.296313,-5.096025,343.5536,10435.9121,69,0,9306.5322,612,0.344987005,0.094481118,0.083002463,0.058313437,0.277018189,0.156327933,295.9920959,296.2725525,0.060958065,0.157605723,2,0
236,9.713,5.784223146,-75.65340232,3.302258,5.180675,-5.15062,354.385,10441.6299,34,0,9193.2598,612,0.411159992,0.098384835,0.086182989,0.065447479,0.266344845,0.161195055,296.5016785,296.6955566,0.07097733,0.173790321,2,0
237,9.754,5.784545411,-75.65358908,1.415365,6.10822,-5.154632,359.9072,10447.6631,34,0,9193.2598,612,0.449588001,0.099110581,0.089273669,0.069491498,0.287517726,0.191087693,296.7554016,296.8359985,0.082590371,0.168623596,2,0
238,9.796,5.784865236,-75.65377463,3.253135,6.067266,-5.189257,355.4282,10453.7686,51,92.6723,9193.2598,626,0.37728101,0.095982656,0.086112157,0.063504979,0.280305624,0.170527041,296.5016785,296.8363342,0.073122233,0.170746654,2,0
239,9.837,5.785187501,-75.65396262,6.074175,6.074175,-5.163891,359.563,10459.9854,44,92.6723,9170.3438,626,0.318210989,0.099366933,0.09036804,0.070839308,0.283127457,0.195316389,297.0091248,297.117218,0.084317438,0.175043806,2,0
240,9.878,5.785508546,-75.65414817,5.107451,6.041172,-5.163474,354.0246,10466.543,45,131.0584,9170.3438,616,0.40774101,0.096115664,0.08834026,0.066739321,0.282768756,0.180470869,296.5016785,296.8363342,0.073154382,0.175043806,2,0
241,9.919,5.785834474,-75.65432639,5.177924,6.116293,-5.144142,355.7372,10474.1426,52,92.6723,9058.2129,616,0.393198997,0.094600007,0.081830703,0.060937177,0.264966577,0.159879446,296.5016785,296.5547791,0.06648092,0.167471901,2,0
242,9.961,5.786195802,-75.65439231,5.228323,6.168668,-5.115481,358.327,10494.0928,62,92.6723,9058.2129,616,0.470277011,0.09441267,0.084932297,0.061212629,0.289387077,0.17198585,296.5016785,296.5547791,0.069042869,0.173663214,2,0
243,10.002,5.786564454,-75.65444358,5.218879,6.160235,-5.13604,358.5958,10515.9092,87,0,9058.2129,609,0.418316007,0.093147263,0.078041382,0.055617742,0.288931012,0.153189451,295.7362366,295.9893494,0.058476727,0.164862588,2,0
244,10.043,5.786930665,-75.65449362,5.217636,6.160128,-5.149777,350.2584,10537.7656,76,0,9036.8555,609,0.287916005,0.097011231,0.083846375,0.062519059,0.27873975,0.176638305,296.5016785,296.4136658,0.074706078,0.172358364,2,0
245,10.084,5.787299318,-75.65454367,5.203067,6.14531,-5.161608,317.4514,10559.9512,40,92.6723,9036.8555,612,0.275985986,0.099464089,0.089232042,0.066963449,0.276897609,0.175832778,296.5016785,296.5544434,0.075226024,0.16335772,2,0
246,10.126,5.787666749,-75.65459372,5.19061,6.132987,-5.175532,288.9912,10582.1123,87,92.6723,8996.8525,616,0.350537002,0.092077099,0.075900026,0.053747416,0.269728154,0.145896256,295.9920959,296.2725525,0.055282511,0.149340734,2,0
247,10.167,5.788034181,-75.65464377,5.225413,6.168288,-5.146212,331.2223,10604.4707,69,185.3446,8996.8525,616,0.311073005,0.092732087,0.079795033,0.05796599,0.263345063,0.154828683,296.5016785,296.2722168,0.063543752,0.15785861,2,0
248,10.208,5.788401613,-75.65469504,5.279593,6.223388,-5.102159,376.8066,10626.7471,52,185.3446,8912.9365,616,0.388141006,0.095868796,0.086579867,0.061630651,0.270915151,0.171406239,296.5016785,296.4136658,0.07254909,0.168334678,2,0
249,10.249,5.788751954,-75.65478781,5.302145,6.246596,-5.08681,387.3256,10644.4951,48,185.3446,8912.9365,611,0.373486996,0.097218178,0.089300066,0.069330715,0.286028236,0.197765082,297.0091248,296.8363342,0.083545014,0.169695318,2,0
